trip_id,driver_id,profile_type,depart,from_edge,to_edge,vehicle_type
driver_0015_trip_001,driver_0015,taxi,23460,-188246591#2,29141762#4,taxi
driver_0597_trip_001,driver_0597,taxi,23520,-45838048#8,442084726,taxi
driver_0429_trip_001,driver_0429,taxi,23580,440897382#4-AddedOnRampEdge,1157862092#1,taxi
driver_0677_trip_001,driver_0677,taxi,23640,440781331#4,444433525#7,taxi
driver_0273_trip_001,driver_0273,taxi,23760,440765420#7,442084726,taxi
driver_0234_trip_001,driver_0234,taxi,23820,519662802#4,541821720#3,taxi
driver_0989_trip_001,driver_0989,taxi,23880,194345865#1,481045534#2,taxi
driver_0484_trip_001,driver_0484,taxi,24000,312565414#0,1092152287#0,taxi
driver_0546_trip_001,driver_0546,taxi,24000,451041314#1,444014977#2,taxi
driver_0907_trip_001,driver_0907,taxi,24000,-993462498#3,-513785001#1,taxi
driver_0819_trip_001,driver_0819,taxi,24300,387281354,29141762#6,taxi
driver_0468_trip_001,driver_0468,taxi,24360,449880707#0,-427774900#1,taxi
driver_0064_trip_001,driver_0064,taxi,24420,719556535,444151449,taxi
driver_0986_trip_001,driver_0986,taxi,24480,-206608466#5,444418076#12,taxi
driver_0820_trip_001,driver_0820,taxi,24600,541821717#0,199898038#0,taxi
driver_0501_trip_001,driver_0501,student,25200,466643174#0,550008874#1,private_car
driver_0910_trip_001,driver_0910,student,25200,297891659#2,102592295#0,private_car
driver_0104_trip_001,driver_0104,student,25320,-1092152288,542860215#1,private_car
driver_0413_trip_001,driver_0413,taxi,25320,860062299#0,334124305#2,taxi
driver_0768_trip_001,driver_0768,taxi,25320,511204845#0,440881632#2,taxi
driver_0676_trip_001,driver_0676,student,25380,427774899#1,248283749,private_car
driver_0960_trip_001,driver_0960,taxi,25380,-519662802#9,-605357670#4,taxi
driver_0222_trip_001,driver_0222,student,25500,-428012640,-585606280#1,private_car
driver_0477_trip_001,driver_0477,student,25500,697672669#2,987053806,private_car
driver_0611_trip_001,driver_0611,taxi,25500,-541821717#2,444232018,taxi
driver_0642_trip_001,driver_0642,student,25500,27336785#0,624728713#0,private_car
driver_0935_trip_001,driver_0935,student,25500,-199898701#1,-184739533#5,private_car
driver_0243_trip_001,driver_0243,student,25560,184739533#6,184739533#7,private_car
driver_0762_trip_001,driver_0762,student,25560,443987645#2,-27336730#4,private_car
driver_0918_trip_001,driver_0918,student,25560,646373239#1,475299606#0,private_car
driver_0944_trip_001,driver_0944,taxi,25560,576651584,771906757#1-AddedOnRampEdge,taxi
driver_0958_trip_001,driver_0958,student,25560,27336730#7,-80912578#1,private_car
driver_0147_trip_001,driver_0147,student,25620,-427564710#2,248284670#0,private_car
driver_0569_trip_001,driver_0569,student,25620,427564711#1,449546093,private_car
driver_0724_trip_001,driver_0724,student,25620,-427774912,458696110#0,private_car
driver_0815_trip_001,driver_0815,student,25620,-427774900#0,-199898702,private_car
driver_0899_trip_001,driver_0899,student,25620,-29140969#7,248284670#1,private_car
driver_0741_trip_001,driver_0741,taxi,25680,458696120#3,1172199237#2,taxi
driver_0030_trip_001,driver_0030,student,25740,444014977#2,-184739533#5,private_car
driver_0038_trip_001,driver_0038,student,25740,-441215231#1,184739533#6,private_car
driver_0666_trip_001,driver_0666,student,25740,904676303,444243640#0,private_car
driver_0302_trip_001,driver_0302,student,25800,834929374#1,-27336730#2,private_car
driver_0697_trip_001,driver_0697,taxi,25800,444232198-AddedOnRampEdge,-624728719#7,taxi
driver_0267_trip_001,driver_0267,student,25860,585911372#1,356939302#1,private_car
driver_0118_trip_001,driver_0118,student,25920,1005131460,1372988688#1,private_car
driver_0489_trip_001,driver_0489,student,25920,444126137,248283749,private_car
driver_0625_trip_001,driver_0625,student,25920,448314188,441215233#0,private_car
driver_0033_trip_001,driver_0033,student,25980,-585911372#0,444422638#0,private_car
driver_0122_trip_001,driver_0122,student,25980,427564711#1,-27336730#7,private_car
driver_0295_trip_001,driver_0295,taxi,25980,1445405492#2,457885320#1,taxi
driver_0124_trip_001,driver_0124,student,26040,-1030848735#0,-441215231#1,private_car
driver_0001_trip_001,driver_0001,student,26100,-194686987#0,949038355#0,private_car
driver_0757_trip_001,driver_0757,student,26100,686139777,603954443#1,private_car
driver_0891_trip_001,driver_0891,student,26220,427564714#0,624728713#0,private_car
driver_0857_trip_001,driver_0857,taxi,26340,771906757#1,587667683#0,taxi
driver_0906_trip_001,driver_0906,student,26340,-194686987#4,356939302#3,private_car
driver_0074_trip_001,driver_0074,commuter,26400,233932478,541821721#0,commuter
driver_0280_trip_001,driver_0280,student,26400,904676306#1,585606281#0,private_car
driver_0454_trip_001,driver_0454,commuter,26400,-184827126#2,-624728719#6,commuter
driver_0530_trip_001,driver_0530,commuter,26400,832418841#4,-860062296#1,commuter
driver_0533_trip_001,driver_0533,student,26400,444346472#0,542860215#4,private_car
driver_0062_trip_001,driver_0062,student,26460,923953844#0,-80912585#1,private_car
driver_0393_trip_001,driver_0393,commuter,26460,450614677#1,-188246591#3,commuter
driver_0539_trip_001,driver_0539,taxi,26460,444151453,-29141189#0,taxi
driver_0764_trip_001,driver_0764,commuter,26460,184827120#3,442016280#1,commuter
driver_0860_trip_001,driver_0860,student,26460,441215231#0,347808377,private_car
driver_0197_trip_001,driver_0197,student,26520,-427564714#0,233932484#0,private_car
driver_0401_trip_001,driver_0401,commuter,26520,453033846#4,481045550#1,commuter
driver_0482_trip_001,driver_0482,commuter,26520,706685591#0,442084727#2-AddedOnRampEdge,commuter
driver_0525_trip_001,driver_0525,taxi,26520,1443721068,29165238#5,taxi
driver_0595_trip_001,driver_0595,commuter,26520,443987647#1,45838048#1,commuter
driver_0911_trip_001,driver_0911,commuter,26520,250274117,536906828#1,commuter
driver_0010_trip_001,driver_0010,commuter,26580,443987645#2,-520107249#1,commuter
driver_0227_trip_001,driver_0227,commuter,26580,646373243#0,45838048#4,commuter
driver_0387_trip_001,driver_0387,commuter,26580,250273756,576645482#0,commuter
driver_0634_trip_001,driver_0634,commuter,26580,27336730#9,440771230#1,commuter
driver_0675_trip_001,driver_0675,student,26580,427564710#2,445209017#1,private_car
driver_0898_trip_001,driver_0898,commuter,26580,444126142,450614679,commuter
driver_0046_trip_001,driver_0046,commuter,26640,-441215231#1,481045531#2,commuter
driver_0217_trip_001,driver_0217,student,26640,188248177#0,-441215231#0,private_car
driver_0224_trip_001,driver_0224,taxi,26640,444400943,624728720#3,taxi
driver_0283_trip_001,driver_0283,student,26640,585911372#2,440769417,private_car
driver_0609_trip_001,driver_0609,commuter,26640,-605357670#3,-45838048#4,commuter
driver_0735_trip_001,driver_0735,student,26640,734144751#2,511478558#0,private_car
driver_0983_trip_001,driver_0983,commuter,26640,427564712#0,-624728719#2,commuter
driver_0023_trip_001,driver_0023,commuter,26700,453294516#1,737631347#0,commuter
driver_0208_trip_001,driver_0208,commuter,26700,199896075#1,444400942#0,commuter
driver_0242_trip_001,driver_0242,student,26700,444418076#1,184739533#7,private_car
driver_0345_trip_001,driver_0345,commuter,26700,904676306#0,439965069#0,commuter
driver_0367_trip_001,driver_0367,commuter,26700,-427774900#3,-440771230#2,commuter
driver_0504_trip_001,driver_0504,student,26700,441215233#0,248284676,private_car
driver_0607_trip_001,driver_0607,commuter,26700,444126139,519662802#7,commuter
driver_0689_trip_001,driver_0689,commuter,26700,-184739533#6,440781327,commuter
driver_0776_trip_001,driver_0776,commuter,26700,-453033846#4,-860062300,commuter
driver_0832_trip_001,driver_0832,commuter,26700,-441215231#2,80912579#5,commuter
driver_0928_trip_001,driver_0928,student,26700,184827120#4,603954443#1,private_car
driver_0951_trip_001,driver_0951,taxi,26700,460894516#1,-444418076#9,taxi
driver_0976_trip_001,driver_0976,commuter,26700,-832418849#3,442232082#0,commuter
driver_0060_trip_001,driver_0060,commuter,26760,443987640#2,440771240,commuter
driver_0150_trip_001,driver_0150,commuter,26760,427774900#3,1288222582#1,commuter
driver_0192_trip_001,driver_0192,commuter,26760,-605357670#4,440765420#3,commuter
driver_0285_trip_001,driver_0285,commuter,26760,-194686987#4,624728712#1,commuter
driver_0394_trip_001,driver_0394,student,26760,-427564714#1,33563313,private_car
driver_0426_trip_001,driver_0426,commuter,26760,520107251#1,449880708#7,commuter
driver_0803_trip_001,driver_0803,student,26760,-742778601#1,458696117,private_car
driver_0045_trip_001,driver_0045,commuter,26820,737870913,442232081,commuter
driver_0088_trip_001,driver_0088,commuter,26820,734144754#0,550008871#1,commuter
driver_0342_trip_001,driver_0342,commuter,26820,-832418849#3,444151453,commuter
driver_0437_trip_001,driver_0437,commuter,26820,706685590#0,441997995#0,commuter
driver_0508_trip_001,driver_0508,commuter,26820,448317071,80912586#8,commuter
driver_0680_trip_001,driver_0680,commuter,26820,29165238#0,80912578#3,commuter
driver_0887_trip_001,driver_0887,commuter,26820,1396476982,1288222581#1,commuter
driver_0979_trip_001,driver_0979,commuter,26820,-734144751#2,520107249#4,commuter
driver_0049_trip_001,driver_0049,student,26880,444014975#1,194344114#1,private_car
driver_0108_trip_001,driver_0108,commuter,26880,444126141,440769435#1,commuter
driver_0637_trip_001,driver_0637,commuter,26880,697670538,188246591#1,commuter
driver_0683_trip_001,driver_0683,commuter,26880,-453033846#4,541821715#0,commuter
driver_0692_trip_001,driver_0692,commuter,26880,194686987#2,444351852#2,commuter
driver_0707_trip_001,driver_0707,taxi,26880,45838048#4,119029072#1,taxi
driver_0018_trip_001,driver_0018,student,26940,450175546#1,451515434#1,private_car
driver_0058_trip_001,driver_0058,taxi,26940,520438401,706685591#1,taxi
driver_0107_trip_001,driver_0107,commuter,26940,-1416525355,450614678#4,commuter
driver_0109_trip_001,driver_0109,commuter,26940,443987645#0,481045532#2,commuter
driver_0170_trip_001,driver_0170,commuter,26940,450350861,79182771#5,commuter
driver_0248_trip_001,driver_0248,commuter,26940,450175300,624728720#1,commuter
driver_0275_trip_001,driver_0275,commuter,26940,427564714#1,-662685557#1,commuter
driver_0344_trip_001,driver_0344,commuter,26940,605357670#1,233809684-AddedOffRampEdge,commuter
driver_0369_trip_001,driver_0369,commuter,26940,453033846#3,440881637-AddedOnRampEdge,commuter
driver_0026_trip_001,driver_0026,commuter,27000,1416525358#0,511204845#4,commuter
driver_0173_trip_001,driver_0173,commuter,27000,-427564712#0,541821722#1,commuter
driver_0436_trip_001,driver_0436,commuter,27000,742778601#1,194344105#0,commuter
driver_0453_trip_001,driver_0453,commuter,27000,466643171#0,520107249#0,commuter
driver_0465_trip_001,driver_0465,student,27000,-184827126#2,440881636#1-AddedOffRampEdge,private_car
driver_0575_trip_001,driver_0575,commuter,27000,706685591#2,402932403#3,commuter
driver_0621_trip_001,driver_0621,commuter,27000,441215233#2,233809684-AddedOffRampEdge,commuter
driver_0795_trip_001,driver_0795,commuter,27000,816423085#1,520107249#0,commuter
driver_0805_trip_001,driver_0805,commuter,27000,445014534,541821720#0,commuter
driver_0971_trip_001,driver_0971,commuter,27000,441215233#0,550008869,commuter
driver_0992_trip_001,driver_0992,commuter,27000,923953844#0,-520107249#1,commuter
driver_0090_trip_001,driver_0090,commuter,27060,-520107251#0,-507573212#0,commuter
driver_0103_trip_001,driver_0103,taxi,27060,444243640#2,576645478#1,taxi
driver_0226_trip_001,driver_0226,student,27060,443987640#0,897550986,private_car
driver_0306_trip_001,driver_0306,commuter,27060,427564705,442084736,commuter
driver_0340_trip_001,driver_0340,commuter,27060,-441215231#0,440769414,commuter
driver_0382_trip_001,driver_0382,commuter,27060,444126136,-624728719#2,commuter
driver_0439_trip_001,driver_0439,commuter,27060,646373243#0,80912589#3,commuter
driver_0669_trip_001,driver_0669,student,27060,1005131460,538306202#3,private_car
driver_0708_trip_001,driver_0708,student,27060,-428012640,759851920#0,private_car
driver_0732_trip_001,driver_0732,taxi,27060,240587997#1,402932403#3,taxi
driver_0749_trip_001,driver_0749,commuter,27060,-427564710#6,444243640#2,commuter
driver_0876_trip_001,driver_0876,student,27060,-194686987#4,624728716,private_car
driver_0892_trip_001,driver_0892,commuter,27060,232602661#0-AddedOffRampEdge,194345861,commuter
driver_0902_trip_001,driver_0902,commuter,27060,449785730-AddedOnRampEdge,442084726,commuter
driver_0966_trip_001,driver_0966,commuter,27060,29140969#5,442014420#1,commuter
driver_0020_trip_001,driver_0020,commuter,27120,-481045543#5,481045532#5,commuter
driver_0398_trip_001,driver_0398,student,27120,33563313,233932484#2,private_car
driver_0497_trip_001,driver_0497,commuter,27120,443987647#0,771906757#1,commuter
driver_0564_trip_001,driver_0564,commuter,27120,-428012644#0,624728720#3,commuter
driver_0577_trip_001,driver_0577,student,27120,-188248177#1,33563313,private_car
driver_0715_trip_001,driver_0715,commuter,27120,-194686987#5,449880708#7,commuter
driver_0716_trip_001,driver_0716,commuter,27120,462138644#5,456382186#2,commuter
driver_0896_trip_001,driver_0896,commuter,27120,444126139,536906828#1,commuter
driver_0004_trip_001,driver_0004,commuter,27180,-1037695960#1,442084725#2,commuter
driver_0132_trip_001,driver_0132,commuter,27180,706685590#2,206608466#7,commuter
driver_0158_trip_001,driver_0158,student,27180,199896075#2,444428465#2,private_car
driver_0421_trip_001,driver_0421,commuter,27180,-706690145#2,1144924620#1,commuter
driver_0448_trip_001,driver_0448,commuter,27180,-199898702,526242013#0,commuter
driver_0650_trip_001,driver_0650,commuter,27180,453033846#4,80912585#5,commuter
driver_0656_trip_001,driver_0656,commuter,27180,-427564710#7,402932403#0,commuter
driver_0704_trip_001,driver_0704,commuter,27180,481045543#5,1174315794,commuter
driver_0717_trip_001,driver_0717,commuter,27180,444014976,-541821717#0,commuter
driver_0352_trip_001,driver_0352,student,27240,450175546#2,29118093#0,private_car
driver_0492_trip_001,driver_0492,commuter,27240,-453033846#4,1149909833,commuter
driver_0588_trip_001,driver_0588,student,27240,233932484#0-AddedOffRampEdge,538306202#2-AddedOffRampEdge,private_car
driver_0729_trip_001,driver_0729,commuter,27240,427564710#6,45838048#5,commuter
driver_0788_trip_001,driver_0788,commuter,27240,544809834#0,481045532#4,commuter
driver_0937_trip_001,driver_0937,student,27240,646373239#0,356939302#4,private_car
